article_id,newspaper_name,edition,date,page,headline,byline,article
4_1944-01-20_p3_sn92070146_00414189040_1944012001_1213,Imperial Valley press.,01,1944-01-20,p3,,,"dren on typical street in q typical
town. His efforts go for naught,
however, and he becomes convinced
that the primary guilt rests with
society and not with the dclin-
quent children. Kent Smith plays
the soldier, Bonia 4 Granville one
of the delinquent kids.


In all the years they've been in
films, Robert watson and Walter
Catlett have owned onlv one morn
ing suit between them, which has
been periodically let out for Catlet
and taken in for Watson. Other
day Watson needed it for a scene
in The Hitler Gang"" III which he
plays Adolf. Just as he was about
to leave his house, Catlett phoned
and asked if he could have the suit.


Sorry"" said Watson, but I've
got to have it for scene."
63_1939-04-22_p7_sn83045462_00280602401_1939042201_0443,Evening star.,01,1939-04-22,p7,,,"with else - and the since
Austria became part of the Reich
that neither Hitler Mussoln joking they
foreign prime minister head of Berlin


"
42_1938-09-23_p8_sn82014085_00393347417_1938092301_0313,The Waterbury Democrat.,01,1938-09-23,p8,"Daily fA

 Washington","Ana ROnERT q ALLElg

Ry DREW PEARSON","British. Surrender to Nozs Dotes

 Back to Three Post-ANor Decisions; Hitler Saw They Would Not Fight After They Let Itoly. Toke Ethiopio;

 After France Let Them Toke Rhnelond;; M w And When Franco Was Not Checked

 WASHINGTON, September g. - Here are two. tl1vb-naN sketches of history which should be kept in Av1"
3_1945-07-08_p92_sn88063294_00340588939_1945070801_0539,Detroit evening times.,01,1945-07-08,p92,Give All Sentences to Press,,"TWO subwayites were dgestng the news.
Il Gee Marge,"" said one, IL where Gen. ZhuIOv
thinks that Hitler may have escaped To Spain


Yeah"" muttered her friend II did trust that
Spanish bull thrOwer anyhow""


Believe me-"" stated the first 'the way these GRIM
inals getting away with murder has wOrried-the
way they're being cOddled and all""


IT'S got me plenty worried. too"" declared the other
straphanger with deep frown. II keep wondering
when they gonna hand out few sentences to the
criminals, instead of to the press"""
19_1940-04-09_p10_sn83045462_0028060222A_1940040901_0184,Evening star.,01,1940-04-09,p10,"Member of the Associafed preSS

War in Scandinavia",,"the uneasy neutrality which the


scandinavian countries have sought


to preserve by every means at their


command since the outbreak of war
IN Europe some eight months ago.
Through the veil of censorship


speedily imposed by the invading


forces have come only the most


meager reports of what is happen


Ing in the new war zone. But Ger


tain facts stand out.


Norway has elected to fight. Early


reports of air raids at Oslo, the
evacuation of civilians and the flight


of the Norwegian government from


that exposed capital suggest that


Goering's bombers already may have
struck


Denmark, virtually helpless by


virtue of her geographical position,


apparently has offered no resistance
+ to the Germans. Her non-aggression
pact with the Reich apparently has


become another scrap of paper. Co.
penhagen is reported occupied, but
If there has been any fighting in
Denmark, no reports of it have leaked
through the censorship.


Sweden as yet presumably has not


been involved beyond the mining of
her ports on the Skagerrak and the
Kattegat, but, with fighting under
way in earnest in Norway, the Swedes
would have little chance to remain
at peace.


Attempting to justify her invasion
OF the neutral countries, the German
government has announced from
Berlin by radio that lin order to
counteract the actions against Den
mark and Norway (by Britain and
France) and to prevent a possible
hostile attack against these coun-
tries, the German Army has taken
these two countries under its pro-
lection. The strong forces of the
German Army have therefore in
vaded these countries this morning.""


So far as any known acts on the
part of the allies are concerned, this
flimsy pretext appears to be directed
to their action in mining three areas
along the Norwegian coast yesterday
In an effort to intercept shipments
of Swedish iron ore bound for Ger
man ports. But the published facts
are all against Germany.


Obviously, the invasion of Norway
and Denmark was not organized
overnight. 1t must have been in
process of preparation for some
time. Today's developments clear
up the mystery of the German
troopship sunk four miles off the
Norwegian coast yesterday by a
British submarine. This transport
was sunk at about the time the
sallied mines were laid and it is a
reasonable assumption that the
German soldiers had embarked be-
fore the mines were laid. Certainly
they were organized for the advance
Son Norway prior to the mine laying.
These facts destroy GerSlany's at
tempt to justify the invasion as an
sact of retaliation for the laying of
J, the mines. That claim, as has been
the case with so many German as
sosrtions, obviously is absurd. There
L. Of course, no way Of demonstrate
Ing factually the truth or falsity Of
fsthe Reich's further claim that she
STRUCK to ward off possible inva-
sion"" of Norway by the allies. But
on the falsity of her other premise,
and on her whole unsavory record
for mendacity, the attempt to i'm
7pute hostile designs to France and
Britain surely will be rejected by
Tworld opinion until such time as
! convincing evidence to the contrary
SIS forthcoming.


I Just what course France and
{ Britain will elect to take. now that
Z the scene of action has shifted to
( the Scandinavian theater, is for them
i to decide. But that they must act
s decisively or face the probable loss
y of the war is apparent, even to the
: amateur strategist.


3 A German occupation of Norway in
force would bring the Reich airmen


to within a scant three hundred
miles of Scapa Flow as compared to
s the six or seven hundred miles which
\ they must fly now to reach that
& target. Almost equally as disastrous
\ for the allies would be the seizure by
=. Germany of the Norwegian naval
base at Bergen, which would greatly
ss facilitate the operations of Hitler's
) submarines and other commerce
Araiders. In fact, unless the British
s move promptly and effectively te
q Norway's assistance, they must resign
? themselves to facing very serious


challenge to their superiority in the


entire North Sea.


/, If the allies still have intact the
u expeditionary force that was not
! sent to Finland's aid, largely because
!. of Norwegian and Swedish objec-
"
25_1940-10-12_p1_sn82014085_00393347636_1940101201_0744,The Waterbury Democrat.,01,1940-10-12,p1,"WAR IN EUROPE A YEAR AGO,

 OCT. i2, 1889",(By United pFeasD,"lBy United FreasD , Adolf Hitler sent cut ""fesleFs"" TegaTding . peace conference, BFilaln, through Prime Minister Neville Chamberlain, save 90 haDe ef sueh . conference.

 German de luAe liner Bremen rovnalod ns safe nt hiuFmanek, nuasla, after running tbe Brit iab hloeks4a from hew xeFk."
6_1940-10-23_p14_sn83045462_00280603041_1940102301_0364,Evening star.,01,1940-10-23,p14,,,"Chapman won the French anna
teur golf championship last year.
the Trenches wouldn't let him
bring home the trophy. Made
him take picture of it, instead.
Dick protested, but they told him
no, 50,000,0 900 Frenchmen couldn't
be wrong. The trophy probably
is among Hitlers souvenirs by
this time.


Personal mention-Ernie Lani-
gan, press agent par excellence
for the International League, is
making pilgrimage to the base
ball shrine at Cooperstown. They
may try to keep him up
there, for if ever a guy belonged
in the hall of fame it's Ernie.
Catfish Smith, Mississippi U. line
coach, once received a letter ad-
dressed only with q rough sketch
Of a catfish. It was from q Yaler
and was mailed after one OF
Georgia's victories over the Blue.
HAIRY Aendel back On Broadway"
14_1939-09-13_p6_sn92070146_00414188874_1939091301_0430,Imperial Valley press.,01,1939-09-13,p6,"Bruce Cation in WASHINGTON
Disseets the News",,"WASHINGTON.--The Dies COM
mittee on un-American Activities
is preparing what it hopes will
be a knockout blow against the
Communist Party in America


It hopes to prove conclusively-
and it will start shortly after it
gets through examining Earl Brow
der-that the party is in fact an
organized. fully instructed agent
III the United States of the Rus
sian government.


Chairman Dies says the COM
mittee has in readiness at least 25
witnesses. including a number of
""high-ranking ex-party people,""


Through their sworn testimony
the committee expects to demon
strate that the party comes under
the law requiring foreign propa-
ganda agents to register in this
country with the Department OF
State.


I think we'll get enough evi-
dence to justify the government
III holding them to strict account
ability as foreign espionage agen-
ey, Dies says.


Since The Russian government


joined hands With Hitler weve
got a much better chance to get
the government to help US Pre-
viously | used to encounter a coed
deal Of sympathy for Russia among
people in key positions here. but
those people are beginning to feel
differently now""


Chairman Dies and other mem-
bers of the committee are con-
vinced they will have little diff
Guilty in proving their case. They
expecs to lie able to present the
same sort g proof in regard to the
German-Bmerican Bund. which
they say should also oe compelled
to register.


To date the department of JUS
tice is maintaining an air of in
terested inactivity in this matter.
II definite proof can be dug up by
the Dies committee. the depart
ment would move swiftly to force
the party-or the bund-to regis
ter Refusal to obey the law would
render leaders of an organiza-
ton liable to fines of $1,000 and
prison terms of two years.


Committee members believe that
il the Communist Party could be
compelled 70 register it would be
almost completely crippled as far
as its activities in this country are
concerned. They predict that such
organizations as the American
League for Peace and Democracy,
which are not strictly Communist
organizations but in whose acti-
vities the party has played lead
ing role. would draw completely
away from the party; that the
united 'front.' of leftist and labor
groups which the party has worked
to build up would collapse, and
that the left-Wing group in the
service would be un-
able any longer to sfow any friend
ship for the Communists.


Meanwhile. the Dies committee
also proposed to undertake a con-
tinuing exercise in propaganda
analysis. Chairman Dies plans to
call as a committee witness Prof
Harold d. Lassweu of Yale to tell
the committee all about the tech
nique Of foreign propaganda.


The committee will muster
staff Of half dozen or more uni
Versity professors who are trained
propaganda analysts. This group"
3_1945-12-01_p21_sn83045298_00514159518_1945120101_0271,Kodiak mirror.,01,1945-12-01,p21,,,"stepped into plane and flew to Teheran, Iran, for four-day conference with Premier Joseph Stalin. It Roosevelt's first meeting with the Russian leader and 1t ended friendly, intimate note. The ""Teheran Declaration reached new peak in the psychological against Hitler:

 we have reached complete agreement as to the scope and timing of operations which will be under taken from the east, west and south No power on earth can prevent our destroying the German armies by land, their U-boats by and their war plants from the air Our attacks will be relentless and unceasing.""

 General Eisenhower and many others predicted victory in 1914 Europe told to hold itself ready to strike the Nazis when full-scae invasion of the continent

 In France, 100000 well-trained and trusted guer- rilla fighters, welded into the French National Council of Resistance were waiting for the word These ""soldats sans unforme once were shop clerks walters, mechanics Now they were the deadliest fifth-column on the continent. They maintained con- tact with Britain and were secretly supplied with guns and ammunition by night-fying planes While they waited they spied and sabotaged-blowing vital bridges, dynamtng railroad cars, terrorizng Nazi sympathzers, protecting downed Allied fiers.

 In Norway and Denmark, Belgium and Holland,"
5_1939-04-25_p8_sn92070146_00414188862_1939042501_0886,Imperial Valley press.,01,1939-04-25,p8,"Hitler Refuses to
Meet Ambassador
For Great Britain",CONTINUED from PAGE Onel,"Continued from Page One
of Observation-Disclosures of the
German government who al pres
ent were extremely busy"" might
find It very difficult 70 see him
before the Reichstag speech.


Il was further suggested that
unless some change occurred, no
German foreign office official high
er than the chief Of the British
section might be available.


Announcement that the govern
ment had decided in principle that
eonScription in Great Britain was
necessary may be made in the
House OF Commons before Hitler
makes his speech, 1t was under
stood.


\ high official source confirmed
10 the United Press today that the
feature Of the special
message Henderson was taking 70
the German government was
warning that conscription was i'm
"
14_1944-02-10_p8_sn83045462_0028060401A_1944021001_0260,Evening star.,01,1944-02-10,p8,,,"ton that Mr. Hull was convinced that
what he was telling the American
people was absolutely correct.


Those who read the newspapers and
listen to foreign broadcasts, however,
hear that the Free Germany Commit
tee, far from being dead, is stronger
and healthier than ever. 1t has grown
in size and is more active than when
1t was created six months ago.


The Soviet government continues to
offer 1t all the necessary facilities for
broadcasting at least once and some
times twice a day to the peoples In the
Reich. It's speakers. ranging from gen.
erals to civilians, urge the German
people to overthrow Hitler and not to
fear any revengeful attitude on the part
OF Russia.


X


They inform Germany that the Soviet
has agreed that the old HohenZollern"
15_1945-04-12_p1_sn82014085_00393346796_1945041201_0531,The Waterbury Democrat.,01,1945-04-12,p1,"Poison Gas Nozis' Aim

 At Leipzig",Rv WILLIAM HIGGINBOTTOM,"by WILLIAM 1AAOUA1N0VA 4OM

 London, April 12-lUP)-Stock- holm reports said today that Adolf Hitler and his henchmen personally would lead the Nazis in their Arm ageddon at Leipzig, throwing all their secret weapons and possibly poison gas into a climactic battle to the death.

 The Stockholm Tidningen quoted military sources in Berlin as say- ing that the final decision battle of Germany would be fought on the historic Napoleonic battlefield at Leipzig.

 Hitler, high party members and Nazi Gauleiters or district leaders intend to die with Germany on the last battlefield, the unconfirmed Stockholm report said.

 Face to face with utter defeat and extinction, the Nazi chieftains were reported preparing to throw every last ounce of their fast dwin- ding resources into their valedic- tory.

 Berlin itself indicated that the Nazis believed their doom to be at hand.

 (Continued on Page A"
24_1942-08-16_p30_sn83045462_00280603624_1942081601_0496,Evening star.,01,1942-08-16,p30,"By Alvin J. Sfeinkobf,",,"Editors Note. Back in America
after eight years as correspondent in
Austria. Hungary and Germany, AlDin
J. Steinkopf ShoUs how the Allies
threats and preparations for a second
front against Hitler are affecting the
Gern1anS)"
